Theta, Alpha, Low_beta, High_beta, Gamma, Channel,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right
95.03968485,35.36857386,17.98670998,7.862962735,3.22834363,97.72812296,35.04756908,17.82379793,8.222242237,4.20345616,96.14118856,35.18571128,25.64983119,14.11731208,10.49539947,93.1105024,38.67980485,18.57869091,8.404574836,4.020720333,87.68309418,31.49105407,15.56607593,7.725503626,2.947590157,Right
2.809762624,3.753824956,2.575828687,1.239367121,1.852010283,2.6418558,3.641975972,1.944548209,0.728682268,1.453834013,1.41588748,3.302097838,4.124167539,1.627491727,2.69946509,3.947283424,8.121123552,2.773231596,1.750853338,2.206946499,0.511306638,1.087308438,0.436290178,0.501462895,0.843357588,Right
4.45200995,5.695654454,2.873902373,1.81932924,1.766254685,4.213297205,4.580117043,2.44462158,0.963752884,1.806971813,1.511346656,3.929181191,8.142183776,1.865232955,2.96123338,4.414352882,8.581026403,1.758480476,1.845706934,2.290240148,0.607270207,0.279901557,0.540869168,0.57146055,0.985308085,Right
7.182179107,6.463925778,2.513864053,2.428861626,2.023625997,5.449333056,5.426423019,2.363463864,1.451169988,1.303215829,2.232731759,4.919622751,8.010591436,2.119455885,2.502868968,5.117693147,8.12552363,1.347399732,2.4337641,2.302397757,1.315988542,0.441506215,0.673847452,0.719921068,0.926904653,Right
3.758437152,4.260043889,2.704034429,3.155666304,2.339952083,2.047060128,3.827041241,2.060070074,2.188678239,1.531553487,2.318012965,3.184012696,6.223947731,2.359886633,2.739916925,2.221720243,5.016456786,3.929088378,4.190019019,2.716130974,1.298740542,0.860831329,1.173857339,0.714130129,1.019019424,Right
2.233584106,2.245479279,3.160057113,2.149917672,1.839477301,1.818147379,1.580028273,2.790643823,1.837099385,1.528545642,1.969429346,2.190196306,7.923288261,2.976568558,3.471296109,2.416381609,3.529408704,5.171541988,2.659331895,2.427169275,0.934012969,0.831656218,1.434817087,0.818581829,1.079107287,Right
5.034649558,2.68685828,7.809864725,2.663354956,2.162510076,3.791098298,2.18306693,5.403997718,2.407667047,1.319018516,3.294375185,3.141149725,9.013407703,3.916152519,3.37789956,5.176802032,6.113512686,8.636133202,2.638060257,2.690250374,0.784302029,0.840357761,1.039753719,0.9126012,1.157998852,Right
5.530048941,1.999237114,7.566317348,3.70083745,2.619766556,4.058384571,2.000111334,5.63367106,2.942019823,1.480563855,2.85694189,3.741342096,8.11567038,3.415593933,3.30184443,5.321228246,4.743332352,9.525668895,4.274905772,2.470033462,0.672795901,1.080672057,1.456811978,0.823548842,1.164413296,Right
2.484515393,5.769627779,5.812873314,3.486862102,2.993660486,2.599706527,5.532100656,5.287606555,2.791160168,1.910319428,2.567413444,3.448522767,4.066096187,3.102395901,3.392689303,3.019551176,8.200537192,7.450477759,3.443510185,2.731198774,0.427043517,1.712849486,2.184157374,1.049098437,1.208528847,Right
1.898389966,12.23804367,6.776558094,4.693964251,2.893173066,1.876431655,10.02830384,5.958563332,3.497324991,1.953203621,2.909197687,3.48224652,6.612382626,4.411472495,2.686191168,3.810988216,7.43589376,6.654530871,4.523910466,2.577872253,0.723257603,1.38563755,0.902189531,1.637050032,1.276161581,Right
2.817692009,8.620075562,6.48028084,2.717593029,2.704140768,2.785789855,8.634203003,5.495786984,2.265996118,2.079514049,2.014774251,1.606817062,12.7989017,4.100203832,2.419099338,2.888349808,8.507122636,6.866116084,3.965473055,3.207960988,0.533892901,0.656754223,0.788032109,1.003703838,1.336597592,Right
3.905188269,4.662067303,3.048603424,2.327958339,1.913397249,3.446122094,4.670277068,2.969915472,2.445332579,1.865853181,1.492326917,2.816309042,11.10009841,4.074746332,2.52621377,3.289802139,10.31070535,7.123084216,3.114167027,2.983027985,0.803202349,0.535451418,0.572016234,0.803805141,1.149233085,Right
4.424654958,3.556701348,2.393711036,2.934332173,2.069978535,2.510206662,2.437639058,1.802337063,2.565565999,1.960774102,0.708983077,4.524935864,9.755218649,5.165988447,3.840626079,4.409742891,6.790933732,4.235236691,2.290363788,3.666170892,1.488922907,0.442387065,0.614434833,0.810493029,1.314647498,Right
4.424654958,3.556701348,2.393711036,2.934332173,2.069978535,2.510206662,2.437639058,1.802337063,2.565565999,1.960774102,0.708983077,4.524935864,9.755218649,5.165988447,3.840626079,4.409742891,6.790933732,4.235236691,2.290363788,3.666170892,1.488922907,0.442387065,0.614434833,0.810493029,1.314647498,Right
3.933368516,3.867326143,2.600673822,2.500302884,2.952787105,2.627254268,2.117375045,2.274045318,1.73870654,2.939710025,1.003589151,2.30541481,7.248803656,4.561967643,5.145160823,4.065167497,6.049508873,5.128872471,1.66073419,4.89155482,1.631650646,0.381503798,0.932521992,0.888279931,1.956987049,Right
2.993458035,4.825059592,4.148137815,2.570593884,2.610980559,3.047572212,4.010545661,4.289088232,1.990371975,2.38351187,1.761060346,2.142967234,4.366231306,3.728190812,4.926853962,3.570123988,9.661259045,13.47734344,2.720805315,4.400376192,0.990422435,0.611882285,1.065275782,1.120742008,1.791640203,Right
